Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,22.219999,22.420000,22.000000,22.150000,22.150000,25084900
2021-10-20,22.200001,22.260000,21.830000,21.950001,21.950001,25647800
2021-10-21,22.090000,22.195000,21.190001,21.219999,21.219999,25902500
2021-10-22,21.299999,22.200001,21.059999,21.700001,21.700001,36418600
2021-10-25,21.500000,21.910000,21.030001,21.059999,21.059999,28526100
2021-10-26,20.830000,21.934999,20.790001,21.469999,21.469999,31197700
2021-10-27,21.379999,22.040001,20.889999,21.950001,21.950001,34147300
2021-10-28,21.570000,21.670000,21.191999,21.270000,21.270000,20552400
2021-10-29,21.799999,21.860001,21.260000,21.440001,21.440001,26626500
2021-11-01,21.240000,21.900000,21.055000,21.100000,21.100000,21840300
2021-11-02,21.040001,21.059999,20.520000,20.530001,20.530001,20673500
2021-11-03,20.590000,20.730000,19.639999,19.820000,19.820000,39745800
2021-11-04,19.600000,20.389999,19.469999,20.049999,20.049999,32790500
2021-11-05,19.900000,20.930000,19.820000,20.830000,20.830000,36396000
2021-11-08,20.510000,21.250000,20.440001,20.860001,20.860001,25122200
2021-11-09,21.030001,21.730000,20.980000,21.209999,21.209999,36983900
2021-11-10,21.650000,22.110001,20.830000,21.600000,21.600000,53773600
2021-11-11,21.100000,21.344999,20.680000,21.139999,21.139999,18399700
2021-11-12,20.760000,20.950001,20.280001,20.360001,20.360001,22150900
2021-11-15,20.110001,20.799999,20.100000,20.120001,20.120001,20316700
2021-11-16,20.270000,20.299999,19.860001,20.190001,20.190001,19401700
2021-11-17,20.129999,20.600000,19.990000,20.520000,20.520000,23302700
2021-11-18,20.299999,20.980000,20.219999,20.709999,20.709999,24908700
2021-11-19,20.809999,21.200001,20.510000,20.959999,20.959999,31519000
2021-11-22,20.510000,21.420000,20.379999,21.330000,21.330000,39617700
2021-11-23,21.340000,21.750000,20.719999,20.850000,20.850000,42159400
2021-11-24,21.350000,21.740000,20.420000,20.549999,20.549999,34758600
2021-11-26,22.969999,26.440001,22.625000,26.160000,26.160000,82949400
2021-11-29,23.160000,23.360001,21.635000,22.049999,22.049999,49655100
2021-11-30,23.490000,25.520000,23.030001,25.459999,25.459999,71348200
2021-12-01,23.629999,27.370001,22.754999,27.299999,27.299999,70009900
2021-12-02,26.469999,26.950001,25.170000,25.719999,25.719999,57070000
2021-12-03,25.500000,30.150000,25.299999,27.959999,27.959999,132634200
2021-12-06,26.969999,27.930000,25.639999,25.780001,25.780001,71276900
2021-12-07,24.280001,24.290001,22.600000,22.900000,22.900000,44137300
2021-12-08,22.700001,23.030001,21.520000,21.520000,21.520000,25274800
2021-12-09,21.590000,22.639999,21.240000,22.200001,22.200001,49356800
2021-12-10,21.139999,21.840000,20.730000,20.780001,20.780001,46288300
2021-12-13,20.980000,21.850000,20.930000,21.639999,21.639999,42192700
2021-12-14,22.350000,23.007999,21.730000,21.930000,21.930000,51174800
2021-12-15,22.129999,23.010000,20.350000,20.430000,20.430000,72622900
2021-12-16,20.059999,21.975000,19.959999,21.290001,21.290001,79506900
2021-12-17,22.110001,22.620001,21.120001,21.969999,21.969999,69646700
2021-12-20,24.000000,24.870001,22.600000,22.780001,22.780001,73259300
2021-12-21,22.030001,22.559999,21.410000,21.660000,21.660000,37977200
2021-12-22,21.610001,21.610001,20.389999,20.410000,20.410000,31383600
2021-12-23,20.200001,20.280001,19.950001,20.180000,20.180000,31655100
2021-12-27,20.020000,20.290001,19.600000,19.700001,19.700001,26696300
2021-12-28,19.590000,19.799999,19.170000,19.209999,19.209999,30755200
2021-12-29,19.180000,19.389999,18.549999,18.709999,18.709999,24990000
2021-12-30,18.610001,18.875000,18.290001,18.709999,18.709999,20741800
2021-12-31,18.650000,18.860001,18.370001,18.530001,18.530001,23370200
2022-01-03,18.280001,18.650000,17.860001,17.900000,17.900000,38597100
2022-01-04,17.760000,18.420000,17.709999,17.879999,17.879999,41376400
2022-01-05,18.020000,19.309999,17.600000,19.290001,19.290001,78263000
2022-01-06,19.370001,19.700001,18.805000,19.379999,19.379999,65273800
2022-01-07,19.320000,19.860001,18.730000,18.820000,18.820000,52311100
2022-01-10,19.540001,20.605000,18.410000,18.469999,18.469999,92378700
2022-01-11,18.719999,19.120001,17.770000,17.820000,17.820000,52551300
2022-01-12,17.590000,17.980000,17.295000,17.629999,17.629999,43270200
2022-01-13,17.580000,18.889999,17.400000,18.740000,18.740000,59111100
2022-01-14,19.370001,19.465000,18.295000,18.450001,18.450001,86630200
2022-01-18,19.250000,20.040001,19.209999,19.889999,19.889999,69039100
2022-01-19,19.469999,20.540001,19.375000,20.360001,20.360001,71325700
2022-01-20,19.860001,21.389999,19.080000,21.240000,21.240000,70723600
2022-01-21,21.600000,23.230000,21.150000,23.200001,23.200001,136712700
2022-01-24,25.010000,27.840000,23.271000,23.719999,23.719999,186572800
2022-01-25,25.330000,26.260000,23.150000,23.860001,23.860001,142307800
2022-01-26,22.799999,24.865000,21.760000,24.320000,24.320000,145446500
2022-01-27,23.100000,25.129999,22.635000,24.490000,24.490000,120736600
2022-01-28,23.990000,25.040001,22.830000,22.950001,22.950001,102376700
2022-01-31,23.209999,23.400000,21.410000,21.410000,21.410000,62965600
2022-02-01,21.010000,21.620001,19.795000,19.840000,19.840000,53538700
2022-02-02,19.709999,20.230000,19.299999,19.420000,19.420000,44406400
2022-02-03,20.639999,21.969999,20.094999,21.780001,21.780001,70183200
2022-02-04,21.520000,22.160000,20.299999,21.000000,21.000000,65158800
2022-02-07,20.500000,20.740000,19.969999,20.420000,20.420000,44798100
2022-02-08,20.219999,20.587000,19.410000,19.500000,19.500000,41790100
2022-02-09,18.940001,19.150000,18.709999,18.709999,18.709999,43074000
2022-02-10,19.730000,20.965000,18.780001,20.459999,20.459999,86161800
2022-02-11,20.469999,23.870001,20.295000,23.240000,23.240000,116988900
2022-02-14,23.309999,24.799999,23.010000,23.309999,23.309999,103615600
2022-02-15,21.680000,22.219999,21.330000,21.389999,21.389999,55678200
2022-02-16,21.700001,22.139999,20.459999,20.530001,20.530001,57347600
